datetime,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率
2026-03-13 14:30:00,1414.56,1414.83,1415.07,1413.8,0.02,0.28,626,88549357.0,0.09,0.0
2026-03-13 14:35:00,1414.79,1413.71,1414.79,1413.0,-0.08,-1.12,407,57557846.0,0.13,0.0
2026-03-13 14:40:00,1413.7,1415.06,1415.5,1413.42,0.1,1.35,758,107236224.0,0.15,0.01
2026-03-13 14:45:00,1415.04,1415.0,1416.07,1414.12,0.0,-0.06,844,119458104.0,0.14,0.01
2026-03-13 14:50:00,1414.3,1412.99,1414.63,1412.46,-0.14,-2.01,669,94556846.0,0.15,0.01
2026-03-13 14:55:00,1412.89,1413.66,1413.66,1412.69,0.05,0.67,790,111642966.0,0.07,0.01
2026-03-13 15:00:00,1413.48,1413.64,1414.1,1413.36,0.0,-0.02,693,97921180.0,0.05,0.01
2026-03-16 09:35:00,1420.0,1433.23,1436.9,1420.0,1.39,19.59,6942,993241881.0,1.2,0.06
2026-03-16 09:40:00,1432.11,1435.34,1435.75,1425.07,0.15,2.11,3322,474996880.0,0.75,0.03
2026-03-16 09:45:00,1436.85,1435.81,1438.0,1431.68,0.03,0.47,2664,382475862.0,0.44,0.02
2026-03-16 09:50:00,1435.81,1442.98,1445.01,1435.81,0.5,7.17,5393,777229021.0,0.64,0.04
2026-03-16 09:55:00,1442.88,1451.0,1453.09,1442.01,0.56,8.02,3788,548621565.0,0.77,0.03
2026-03-16 10:00:00,1451.0,1462.5,1462.56,1451.0,0.79,11.5,4944,721204752.0,0.8,0.04
2026-03-16 10:05:00,1462.5,1464.58,1466.0,1462.22,0.14,2.08,3828,560493465.0,0.26,0.03
2026-03-16 10:10:00,1464.58,1456.4,1464.58,1456.4,-0.56,-8.18,1864,272238494.0,0.56,0.01
2026-03-16 10:15:00,1456.4,1458.03,1459.81,1453.96,0.11,1.63,1229,179002374.0,0.4,0.01
2026-03-16 10:20:00,1458.03,1454.4,1459.5,1453.95,-0.25,-3.63,907,132025288.0,0.38,0.01
2026-03-16 10:25:00,1454.44,1454.99,1456.88,1452.03,0.04,0.59,1115,162190386.0,0.33,0.01
2026-03-16 10:30:00,1454.98,1451.01,1454.98,1450.49,-0.27,-3.98,603,87578994.0,0.31,0.0
2026-03-16 10:35:00,1451.48,1450.74,1451.99,1450.0,-0.02,-0.27,868,125880613.0,0.14,0.01
2026-03-16 10:40:00,1450.77,1452.11,1454.0,1450.27,0.09,1.37,646,93779563.0,0.26,0.01
2026-03-16 10:45:00,1452.01,1455.78,1457.0,1452.01,0.25,3.67,778,113172168.0,0.34,0.01
2026-03-16 10:50:00,1455.78,1458.0,1459.99,1455.77,0.15,2.22,832,121325864.0,0.29,0.01
2026-03-16 10:55:00,1457.41,1456.2,1457.97,1454.5,-0.12,-1.8,547,79643947.0,0.24,0.0
2026-03-16 11:00:00,1456.2,1453.15,1456.2,1452.0,-0.21,-3.05,631,91758151.0,0.29,0.01
2026-03-16 11:05:00,1454.09,1450.1,1454.46,1450.1,-0.21,-3.05,341,49528907.0,0.3,0.0
2026-03-16 11:10:00,1450.1,1448.0,1450.57,1448.0,-0.14,-2.1,451,65381635.0,0.18,0.0
2026-03-16 11:15:00,1447.89,1449.0,1449.9,1447.24,0.07,1.0,308,44617701.0,0.18,0.0
2026-03-16 11:20:00,1449.0,1450.5,1450.58,1448.26,0.1,1.5,273,39589385.0,0.16,0.0
2026-03-16 11:25:00,1451.0,1453.0,1454.08,1450.6,0.17,2.5,926,134490949.0,0.24,0.01
2026-03-16 11:30:00,1453.65,1452.46,1455.0,1452.27,-0.04,-0.54,218,31689918.0,0.19,0.0
2026-03-16 13:05:00,1452.45,1454.42,1455.0,1451.87,0.13,1.96,980,142497653.0,0.22,0.01
2026-03-16 13:10:00,1454.1,1454.75,1455.95,1452.35,0.02,0.33,481,69956783.0,0.25,0.0
2026-03-16 13:15:00,1453.3,1453.8,1454.91,1452.94,-0.07,-0.95,478,69508102.0,0.14,0.0
2026-03-16 13:20:00,1453.75,1450.79,1453.77,1450.61,-0.21,-3.01,441,64079066.0,0.22,0.0
2026-03-16 13:25:00,1450.7,1451.88,1452.61,1450.2,0.08,1.09,455,66046458.0,0.17,0.0
2026-03-16 13:30:00,1451.89,1451.94,1452.0,1450.9,0.0,0.06,292,42384580.0,0.08,0.0
2026-03-16 13:35:00,1452.0,1451.23,1452.0,1451.2,-0.05,-0.71,457,66381964.0,0.06,0.0
2026-03-16 13:40:00,1451.17,1451.92,1452.0,1450.88,0.05,0.69,357,51812557.0,0.08,0.0
2026-03-16 13:45:00,1451.92,1451.86,1453.0,1450.65,0.0,-0.06,831,120623892.0,0.16,0.01
2026-03-16 13:50:00,1452.0,1451.24,1452.0,1451.15,-0.04,-0.62,257,37300402.0,0.06,0.0
2026-03-16 13:55:00,1451.54,1452.0,1452.0,1451.21,0.05,0.76,282,40931999.0,0.05,0.0
2026-03-16 14:00:00,1452.0,1453.87,1453.87,1451.83,0.13,1.87,998,144864504.0,0.14,0.01
2026-03-16 14:05:00,1453.87,1456.16,1456.2,1452.0,0.16,2.29,612,89000666.0,0.29,0.0
2026-03-16 14:10:00,1456.34,1455.77,1459.47,1455.77,-0.03,-0.39,635,92566233.0,0.25,0.01
2026-03-16 14:15:00,1456.1,1456.06,1457.9,1455.49,0.02,0.29,340,49532078.0,0.17,0.0
2026-03-16 14:20:00,1456.06,1458.5,1458.99,1455.78,0.17,2.44,603,87897132.0,0.22,0.0
2026-03-16 14:25:00,1458.0,1457.25,1458.55,1457.0,-0.09,-1.25,532,77493853.0,0.11,0.0
2026-03-16 14:30:00,1457.25,1457.03,1458.1,1456.52,-0.02,-0.22,595,86725969.0,0.11,0.0
2026-03-16 14:35:00,1457.05,1461.83,1462.5,1457.02,0.33,4.8,1662,242599556.0,0.38,0.01
2026-03-16 14:40:00,1462.48,1464.49,1464.56,1461.1,0.18,2.66,1841,269388113.0,0.24,0.01
2026-03-16 14:45:00,1463.23,1463.6,1464.99,1463.17,-0.06,-0.89,965,141283498.0,0.12,0.01
2026-03-16 14:50:00,1463.5,1462.97,1463.95,1462.9,-0.04,-0.63,840,122924314.0,0.07,0.01
2026-03-16 14:55:00,1462.99,1460.64,1463.0,1460.5,-0.16,-2.33,734,107283641.0,0.17,0.01
2026-03-16 15:00:00,1460.6,1460.18,1461.19,1458.16,-0.03,-0.46,1002,146285060.0,0.21,0.01
2026-03-17 09:35:00,1468.0,1469.86,1475.49,1461.19,0.66,9.68,4408,647590527.0,0.98,0.04
2026-03-17 09:40:00,1470.01,1479.85,1481.0,1470.01,0.68,9.99,4038,596602396.0,0.75,0.03
2026-03-17 09:45:00,1479.8,1483.52,1484.7,1478.33,0.25,3.67,2597,384654053.0,0.43,0.02
2026-03-17 09:50:00,1482.43,1477.97,1483.52,1476.8,-0.37,-5.55,1561,231025457.0,0.45,0.01
2026-03-17 09:55:00,1478.27,1479.99,1480.08,1476.96,0.14,2.02,1358,200730637.0,0.21,0.01
2026-03-17 10:00:00,1480.08,1479.7,1480.98,1478.06,-0.02,-0.29,632,93545771.0,0.2,0.01
2026-03-17 10:05:00,1479.69,1487.88,1488.0,1479.69,0.55,8.18,2256,334837691.0,0.56,0.02
2026-03-17 10:10:00,1487.2,1495.95,1496.79,1486.77,0.54,8.07,2751,410376445.0,0.67,0.02
2026-03-17 10:15:00,1495.21,1496.99,1498.07,1494.44,0.07,1.04,1891,282947550.0,0.24,0.02
2026-03-17 10:20:00,1496.82,1493.61,1498.0,1493.61,-0.23,-3.38,1266,189343178.0,0.29,0.01
